,0
202, Tokheho Yepthomi 
203, Ram Kripal Yadav 
204, Rajesh Verma 
205, Giridhari Yadav 
206, Devendrappa Y 
207, Krishnapal Singh Yadav 
208, Rekha Arun Verma 
209, S. Venkatesan 
210, Rekha Arun Verma 
211, Rajesh Verma 
212, Sunil Kumar 
213, Rajmohan Unnithan 
214, Durga Das Uikey 
215,  V.K. Sreekandan 
216, Saptagiri Sankar Ulaka 
217, Shivkumar Chanabasappa Udasi 
218, Krupal Balaji Tumane 
219, Geetha Viswanath Vanga 
220, Ganesh Singh 
221, Devusinh Jesingbhai Chauhan 
222, Su Thirunavukkarasar 
223, Rebati Tripura 
224, Manish Tewari 
225, Thirumaa Valavan Thol 
226, Talari Rangaiah 
227, Ramapati Ram Tripathi 
228, Pragya Singh Thakur 
229, Rameswar Teli 
230, Manoj Kumar Tiwari 
231, Manickam Tagore B 
232, Sunil Dattatray Tatkare 
233, Ramdas Chandrabhanji Tadas 
234,  Dr. T. Sumathy (a) Thamizhachi Thangapandian 
235, L.S. Tejasvi Surya 
236, Sakshi Ji Swami Maharaj 
237, Ajay Tamta 
238,  Shri Syed Imtiaz Jaleel 
239, K. Subbarayan 
240, Sunil Soren 
241, Jayant Sinha 
242, Kotagiri Sridhar 
243, Nandigam Suresh 
244, Alok Kumar Suman 
245, Supriya Sadanand Sule 
246, Kumbakudi Sudhakaran 
247, Doddaalahalli Kempegowda Suresh 
248, Sunil Kumar Soni 
249, Vinod Kumar Sonkar 
250, Kirit Premjibhai Solanki 
251, Renuka Singh Saruta 
252, Rakesh Singh 
253, Satya Pal Singh 
254, Virendra Singh 
255, Ravneet Singh 
256, Sushil Kumar Singh 
257, Rajbahadur Singh 
258, Uday Pratap Singh 
259, Lallu Singh 
260, Mahabali Singh 
261, Parvesh Sahib Singh 
262, Radha Mohan Singh 
263, Pashupati Nath Singh 
264, Pradeep Kumar Singh 
265, Kirti Vardhan Singh 
266, Jitendra Singh 
267, Himadri Singh 
268, Kavita Singh 
269, Giriraj Singh 
270, Atul Kumar Singh 
271, Brijendra Singh 
272, Sanjeev Kumar Singari 
273, Chandan Singh 
274, Bhola Singh 
275, Dushyant Singh 
276, Rajdeep Roy 
277, Nityanand Rai 
278, P.P. Chaudhary 
279, Janardan Mishra 
280, Venkata Satyavathi Beesetti 
281, A.K.P. Chinraj 
282, Ajay Nishad 
283, Nalin Kumar Kateel 
284, Chandra Prakash Joshi 
285, Vijay Kumar Hansdak 
286, S. Muniswamy 
287, Sukhbir Singh Jaunapuria 
288, Komati Reddy Venkat Reddy 
289, Narendra Kumar 
290, B. Y. Raghavendra 
291, Kunar Hembram 
292, S.R. Parthiban 
293, Mohammad Jawed 
294, Basanta Kumar Panda 
295, Vijay Kumar Dubey 
296, Riti Pathak 
297, Balubhau Narayanrao (Alias Suresh) Dhanorkar 
298, Gautam Gambhir 
299,  Hema Malini 
300, Shankar Lalwani 
301, Pakauri Lal 
302, Feroze Varun Gandhi 
303, Adala Prabhakara Reddy 
304, Pallab Lochan Das 
305, Subhash Chandra Baheria 
306, S. Ramalingam 
307, Behanan Benny 
308, C. R. Patil 
309, Dharmendra Kumar Kashyap 
310, Naba (Hira) Kumar Sarania 
311, Dean Kuriakose 
312, Hibi Eden 
313, Heena Vijaykumar Gavit 
314, Khalilur Rahaman 
315, Sanjay Kumar Bandi 
316, Devendra (Alias) Bhole Singh Singh 
317, Mohammad Sadique 
318, Kanakmal Katara 
319, Shriniwas Dadasaheb Patil 
320, Devji Mansingram Patel 
321, Vinayak Bhaurao Raut 
322, A. Ganeshamurthi 
323, Kinjarapu Ram Mohan Naidu 
324, Mohan Mandavi 
325, Horen Sing Bey 
326, Sharda Anilkumar Patel 
327, Bheemrao Baswanthrao Patil 
328, Nishikant Dubey 
329, Prataprao Jadhav 
330, Jayadev Galla 
331, Gaddam Ranjith Reddy 
332, Mahua Moitra 
333, Parvatagouda Chandanagouda Gaddigoudar 
334, Karti P. Chidambaram 
335, Sunita Duggal 
336, Raksha Nikhil Khadse 
337, Sukanta Majumdar 
338, Bhartruhari Mahtab 
339, P.R. Natarajan 
340, Santosh Pandey 
341, Mahendrabhai Kalubhai Munjpara 
342, Santosh Kumar Gangwar 
343, Adhir Ranjan Chowdhury 
344,  Shri Durai Murugan Kathir Anand 
345, Harish Dwivedi 
346, Uttam Kumar Nalamada Reddy 
347, Prajwal Revanna 
348, Mitesh Rameshbhai Patel 
349, Unmesh Bhaiyyasaheb Patil 
350, Debasree Chaudhuri 
351,  Bhavana Gawali (Patil) 
352,  Bholanath (B.P. Saroj) 
353, Sandhya Ray 
354, Ratansinh Magansinh Rathod 
355, Santokh Singh Chaudhary 
356, Subhash Ramrao Bhamre 
357, Ramakant Bhargava 
358, Soyam Babu Rao 
359, Ranjanben Dhananjay Bhatt 
360, Nihal Chand Chauhan 
361, Sanjay Shamrao Dhotre 
362, Ravi Shankar Prasad 
363,  Harsh Vardhan 
364, Kalyan Banerjee 
365, Rahul Gandhi 
366, Y. S. Avinash Reddy 
367, Haji Fazlur Rehman 
368, Pratima Bhoumik 
369, Nakul K. Nath 
370, Pradyut Bordoloi 
371, Pramila Bisoyi 
372, Rodmal Nagar 
373, Vincent H Pala 
374, Raja Amareshwara Naik 
375, Prasun Banerjee 
376, Girish Bhalchandra Bapat 
377, Gangasandra Siddappa Basavaraj 
378, Shafiqur Rahman Barq 
379, Pradan Baruah 
380, Meenakashi Lekhi 
381, Om Birla 
382, Abhishek Banerjee 
383, Arjun Ram Meghwal 
384, Sanjeev Kumar Balyan 
385, Niranjan Jyoti 
386, Raosaheb Dadarao Danve 
387, Shobha Karandlaje 
388, Vijay Baghel 
